clip_id,tempo,energy,danceability,acousticness,valence,duration_sec,genre
audio_017,163,0.7722447692966574,0.6775643618422824,0.8093611554785136,0.10077800137742665,175,Hip-Hop
audio_079,94,0.1198653673336828,0.5769038846263591,0.014393488629755868,0.6182180633162611,149,Rock
audio_083,109,0.5187906217433661,0.2807723624408558,0.8554605840110072,0.07276300636419353,152,Jazz
audio_056,110,0.07697990982879299,0.16080805141749865,0.2708322512620742,0.09128667678613356,211,Jazz
audio_091,113,0.2848404943774676,0.015456616528867428,0.39850473439737344,0.8127995672575026,182,Classical
audio_087,65,0.9624472949421112,0.9404585843529143,0.49161587511683236,0.08483771408519192,296,Hip-Hop
audio_061,77,0.6334037565104235,0.7121792213475359,0.8359801205122058,0.6318372121697993,297,Pop
audio_050,167,0.5085706911647028,0.8985541885270792,0.6374299014982066,0.8264574661077416,221,Hip-Hop
audio_078,106,0.22210781047073025,0.5026370931051921,0.7578461104643691,0.7615106317174722,175,Pop
audio_035,167,0.8872127425763265,0.5296505783560065,0.2865412521282844,0.7506147516408583,265,Electronic
audio_088,113,0.25178229582536416,0.9539285770025874,0.4734717707805657,0.9866395785011755,130,Pop
audio_053,123,0.41038292303562973,0.1014715428660321,0.5163003483011953,0.3892016787341631,236,Classical
audio_004,74,0.1959828624191452,0.7616196153287176,0.696029796674973,0.5857755812734633,260,Rock
audio_093,122,0.6095643339798968,0.42818414831731433,0.6350936508676438,0.9860010638228709,178,Classical
audio_070,61,0.11005192452767676,0.3677158030594335,0.27993389694594284,0.49442030470258147,165,Jazz
audio_008,80,0.2713490317738959,0.6323058305935795,0.9900538501042633,0.6432882184423532,180,Classical
audio_002,111,0.9218742350231168,0.2420552715115004,0.5568012624583502,0.6424192782063156,245,Electronic
audio_022,61,0.7290071680409873,0.17436642900499144,0.5015162946871996,0.3189756302937613,177,Classical
audio_063,148,0.8036720768991145,0.3253996981592677,0.4089529444142699,0.29321077169806453,220,Classical
audio_075,130,0.006952130531190703,0.8920465551771133,0.4196000624277899,0.3509150125520787,166,Hip-Hop
audio_016,159,0.9868869366005173,0.5908929431882418,0.29359184426449336,0.06936130087516545,272,Rock
audio_039,118,0.7607850486168974,0.9004180571633305,0.8226005606596583,0.37201808579278317,262,Jazz
audio_020,81,0.8154614284548342,0.22649577519793795,0.9132405525564713,0.6830067734163568,236,Electronic
audio_089,165,0.49724850589238545,0.9148643902204485,0.17320186991001518,0.3742707957561203,204,Hip-Hop
audio_003,152,0.0884925020519195,0.6721355474058786,0.936154774160781,0.026511310541621813,292,Jazz
audio_019,62,0.005522117123602399,0.512093058299281,0.8670723185801037,0.0944429607559284,285,Rock
